Sector,"Employment <br><i style=""font-size:80%;"">August 2025</i>",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,Annual Growth Rate,Unemployment Rate
Accommodation and Food Services,196600.0,192.4,191.5,193.1,187.1,174.2,176.7,177.9,154.5,165.6,183.1,190.2,202.1,191.8,181.4,181.1,173.2,170.4,167.3,173.2,184.4,186.2,189.2,190.4,195.2,190.7,186.3,187.4,187.1,187.7,188.4,194.4,206.5,203.5,204.2,214.4,214.3,195.2,193.6,185.0,181.4,179.1,174.2,174.2,183.0,189.9,191.9,197.0,195.9,179.3,185.6,197.3,192.2,186.3,185.0,191.3,184.7,177.6,192.7,196.6,196.6,0.43282739327847874,1.8472291562656062
Construction,272500.0,220.4,214.5,218.3,230.5,226.6,224.3,228.8,230.5,230.6,224.7,245.0,245.1,235.1,232.8,215.7,215.7,210.5,219.1,222.0,229.9,240.6,244.6,246.3,254.3,245.6,245.7,244.4,246.9,250.6,249.2,249.0,247.8,241.5,239.8,222.0,222.5,227.9,235.1,234.7,230.2,227.6,236.5,238.9,243.5,243.1,250.8,262.4,256.9,249.5,246.2,255.6,250.4,252.0,250.6,254.0,256.2,268.1,268.7,265.3,272.5,4.335231328443334,3.9478322171307645
Digital Economy,378000.0,283.5,310.9,313.0,313.3,322.7,321.6,317.29999999999995,343.2,325.1,325.0,332.3,334.2,338.70000000000005,348.9,342.2,339.2,352.8,351.3,339.80000000000007,329.5,330.9,345.90000000000003,340.19999999999993,352.6,345.1,345.5,338.9,320.4,326.79999999999995,315.40000000000003,329.5,308.9,319.5,327.80000000000007,337.0,344.29999999999995,348.1,344.49999999999994,341.1,353.4,339.6,338.5,333.1,342.7,342.40000000000003,361.8,347.4,345.9,343.6,368.5,363.0,365.7000000000001,357.6,362.8,372.6,353.9,378.5,371.4999999999999,374.8,378.0,5.922384104881218,4.303797468354431
Educational Services,175700.0,179.2,191.2,195.1,196.9,190.4,200.1,196.2,193.4,189.5,188.0,159.2,146.0,190.4,190.6,195.9,196.7,200.3,208.4,195.1,196.3,194.0,197.1,167.8,162.8,212.2,212.3,220.8,222.4,221.6,222.8,221.2,226.7,226.7,222.8,181.0,185.8,235.3,233.8,234.8,231.9,231.6,237.4,226.2,233.5,224.3,221.1,178.2,180.9,222.9,227.6,226.3,230.5,234.6,237.9,232.9,231.2,235.1,229.4,186.2,175.7,-0.3937130169167524,16.532066508313548
Health Care and Social Assistance,407500.0,321.2,335.8,331.0,333.8,338.6,338.8,349.1,344.9,344.2,351.1,356.5,357.7,355.2,361.7,366.1,374.2,371.0,374.8,372.3,369.1,378.7,372.5,369.9,373.3,376.3,373.5,371.1,366.5,366.3,376.5,370.4,366.1,375.5,385.2,392.3,385.2,384.3,388.3,397.1,408.6,407.3,407.7,417.6,415.5,415.4,405.5,411.5,405.4,405.4,408.0,406.9,413.4,403.3,408.2,414.8,414.5,423.2,421.1,417.9,407.5,4.874623638110265,4.230317273795537
Manufacturing,184600.0,179.2,181.8,175.2,181.9,174.5,167.2,175.7,187.7,180.3,183.9,176.6,191.9,191.9,193.8,206.1,198.7,195.1,196.9,191.3,192.6,184.3,193.2,185.9,182.6,176.4,187.6,181.3,183.9,176.5,180.2,178.6,176.0,175.4,179.0,174.5,171.3,167.8,168.5,183.5,182.7,172.9,174.7,180.9,173.2,179.0,184.1,184.5,180.3,180.3,178.5,173.2,181.9,185.9,187.1,192.3,188.8,186.3,187.3,182.9,184.6,0.5955427771251465,3.8040646169880232
"Mining, Quarrying, Oil and Gas",27900.0,21.9,26.2,29.9,28.8,28.5,29.2,30.3,28.2,30.7,30.3,29.8,26.0,25.4,28.3,27.0,26.4,28.9,27.3,24.8,24.2,23.8,25.5,27.4,25.9,27.7,34.4,34.0,33.9,32.1,31.2,30.5,31.3,34.8,32.7,35.3,40.9,42.6,38.8,37.2,36.1,33.6,34.5,33.7,30.8,34.0,34.1,38.9,39.3,43.8,44.4,39.5,35.4,33.1,33.9,27.5,23.4,23.8,25.2,28.6,27.9,4.961980739136629,9.415584415584421
Other Services,118300.0,103.5,105.2,110.5,104.3,107.4,113.7,106.9,108.2,112.8,114.4,119.2,113.5,107.7,103.3,103.1,100.9,100.2,98.9,101.9,101.4,103.2,104.6,101.4,104.4,102.1,101.2,102.2,102.8,105.4,106.9,105.6,110.4,110.4,107.5,111.1,114.2,118.7,118.2,117.2,115.8,121.9,123.3,125.5,122.9,118.7,116.6,120.0,121.5,118.0,120.8,112.1,108.6,107.3,113.0,104.9,113.2,107.7,111.9,120.8,118.3,2.709089425055855,4.7504025764895434
"Professional, Scientific and Technical Services",317800.0,246.0,251.4,247.3,249.5,256.3,260.3,266.0,272.3,268.3,280.7,275.6,268.4,263.4,259.2,266.4,263.9,258.4,277.7,285.4,288.7,285.1,289.7,287.4,282.8,291.6,294.5,285.0,283.8,274.1,275.5,276.8,273.4,282.8,289.5,295.9,296.8,302.8,312.6,293.7,295.1,292.8,300.8,298.2,304.2,311.4,299.5,293.9,293.3,295.9,299.7,303.1,307.9,312.8,309.6,310.8,306.9,321.0,322.6,319.0,317.8,5.255247586341816,2.425544980042982
"Total, All Industries",2937200.0,2594.2,2632.8,2637.0,2625.7,2602.4,2633.5,2662.9,2632.5,2657.4,2717.9,2718.1,2716.8,2717.1,2717.5,2726.3,2704.8,2681.4,2725.0,2735.0,2751.0,2792.7,2802.9,2805.1,2794.8,2811.6,2810.3,2800.6,2798.2,2770.6,2796.3,2810.4,2816.1,2853.6,2867.4,2852.0,2863.9,2884.0,2887.9,2883.3,2890.0,2861.8,2887.9,2906.7,2928.3,2943.6,2952.9,2930.7,2918.6,2903.6,2916.7,2905.1,2912.8,2904.1,2918.7,2937.5,2951.3,2978.9,3002.8,2965.5,2937.2,2.514668793766761,7.215061915592624
