NOC,Occupation,Employment,Median_Wage,suffix
15,"Senior managers - trade, broadcasting and other services**",15,100006.41,**
211,Engineering managers,500,102294.4,
213,Computer and information systems managers,1300,97843.203,
601,Corporate sales managers**,339,87984,**
1123,"Professional occupations in advertising, marketing and public relations",3300,57137.602,
1253,Records management technicians**,85,50086.398,**
2133,Electrical and electronics engineers,600,85092.797,
2147,Computer engineers*,408,75046.398,*
2148,Other professional engineers,700,69992,
2161,"Mathematicians, statisticians and actuaries*",95,82825.602,*
2171,Information systems analysts and consultants,4100,78000,
2172,Database analysts and data administrators,800,67267.203,
2173,Software engineers and designers,1000,78936,
2174,Computer programmers and interactive media developers,3400,67641.602,
2175,Web designers and developers*,451,53809.602,*
2241,Electrical and electronics engineering technologists and technicians,2300,69284.797,
2281,Computer network technicians,1300,52873.602,
2282,User support technicians,3100,45760,
2283,Information systems testing technicians**,337,50460.801,**
4163,Business development officers and marketing researchers and consultants,900,64833.602,
5223,Graphic arts technicians**,26,50523.203,**
5224,Broadcast technicians**,45,47153.602,**
5241,Graphic designers and illustrators,3100,48380.801,
7241,Electricians (except industrial and power system),2000,54080,
7242,Industrial electricians,900,66560,
7243,Power system electricians*,164,76585.602,*
7244,Electrical power line and cable workers,500,74131.203,
7245,Telecommunications line and cable workers**,234,52936,**
7246,Telecommunications installation and repair workers,800,49420.801,
7247,Cable television service and maintenance technicians**,171,45822.398,**
